Wall time,Step,Value
1520350006.679076,0,0.29295381903648376
1520350009.090884,1,0.36703822016716003
1520350011.515935,2,0.3910827934741974
1520350013.9089649,3,0.41190287470817566
1520350016.3396988,4,0.4338773787021637
1520350018.7310812,5,0.45031848549842834
1520350021.1331768,6,0.4671178460121155
1520350023.4998653,7,0.4869824945926666
1520350025.849095,8,0.5044187903404236
1520350028.1945398,9,0.5271098613739014
1520350030.5609941,10,0.5503981113433838
1520350032.9309208,11,0.5663216710090637
1520350035.322079,12,0.5877388715744019
1520350037.732783,13,0.6036624312400818
1520350040.1141586,14,0.6268709897994995
1520350042.4978275,15,0.6509951949119568
1520350044.9272795,16,0.6689092516899109
1520350047.2958698,17,0.6931926608085632
1520350049.7246468,18,0.7124999761581421
1520350052.1351273,19,0.73411625623703
1520350054.5444677,20,0.75
1520350056.933325,21,0.7768312096595764
