Wall time,Step,Value
1520427259.1931279,0,1.6843194961547852
1520427276.9022348,1,1.632659912109375
1520427294.3359911,2,1.6007013320922852
1520427316.2290711,3,1.583388090133667
1520427337.66127,4,1.5715162754058838
1520427359.626925,5,1.5616248846054077
1520427381.104192,6,1.553945541381836
1520427401.7412748,7,1.547641634941101
1520427423.9350588,8,1.5435504913330078
1520427444.6218529,9,1.5377886295318604
1520427466.354282,10,1.5339438915252686
1520427486.5660539,11,1.5297908782958984
1520427506.7851992,12,1.5244312286376953
1520427527.934498,13,1.5229085683822632
1520427548.1466088,14,1.526753544807434
1520427567.8002958,15,1.5166600942611694
1520427587.097527,16,1.515617847442627
1520427607.019642,17,1.512441635131836
1520427627.6942332,18,1.510237216949463
1520427647.7859101,19,1.510401725769043
1520427667.42192,20,1.5097506046295166
1520427687.217174,21,1.509742259979248
1520427706.3976388,22,1.506579041481018
1520427724.0014741,23,1.504652738571167
1520427741.091705,24,1.5063096284866333
1520427757.365397,25,1.505025029182434
1520427775.026619,26,1.507433295249939
1520427790.1301591,27,1.502844214439392
1520427805.26459,28,1.5046931505203247
1520427820.339963,29,1.5034040212631226
1520427838.075413,30,1.5038923025131226
