Wall time,Step,Value
1520429404.206709,0,0.3390916585922241
1520429418.955841,1,0.37336304783821106
1520429433.7763772,2,0.3864586353302002
1520429451.652108,3,0.39537474513053894
1520429470.6006851,4,0.4054054021835327
1520429486.162294,5,0.4054054021835327
1520429502.429152,6,0.40930622816085815
1520429518.353315,7,0.4126497507095337
1520429535.274019,8,0.4126497507095337
1520429550.6046348,9,0.41209250688552856
1520429567.948412,10,0.41655057668685913
1520429584.081442,11,0.42128726840019226
1520429600.5143292,12,0.423237681388855
1520429618.5927382,13,0.42072999477386475
1520429637.5465758,14,0.42630258202552795
1520429652.1598022,15,0.42351630330085754
1520429667.404007,16,0.42713847756385803
1520429682.879804,17,0.43828365206718445
1520429699.808148,18,0.43466147780418396
1520429716.60247,19,0.43410420417785645
1520429732.3783832,20,0.4402340352535248
1520429749.683318,21,0.4302034080028534
1520429766.257588,22,0.43131792545318604
1520429781.836015,23,0.43605461716651917
1520429797.553953,24,0.4421844482421875
1520429814.219362,25,0.44246307015419006
1520429832.2551758,26,0.4449707567691803
1520429847.356243,27,0.445806622505188
