Wall time,Step,Value
1520450244.1019053,0,1.638304352760315
1520450250.0047698,1,1.5898138284683228
1520450255.9407887,2,1.5657241344451904
1520450261.8151534,3,1.5404402017593384
1520450267.7306905,4,1.529093861579895
1520450273.5688963,5,1.5085625648498535
1520450279.417172,6,1.500279188156128
1520450285.2651455,7,1.4958696365356445
1520450291.1220672,8,1.4813579320907593
1520450296.9411602,9,1.4756314754486084
1520450302.7646651,10,1.4680225849151611
1520450308.5938916,11,1.4586687088012695
1520450314.408048,12,1.4571775197982788
1520450320.2090719,13,1.44935142993927
1520450326.0641305,14,1.450485110282898
1520450331.8513556,15,1.4459116458892822
1520450337.6636581,16,1.4388587474822998
1520450343.4822912,17,1.4447202682495117
1520450349.303728,18,1.4349948167800903
1520450355.1192472,19,1.4351671934127808
1520450360.9418597,20,1.4327549934387207
1520450366.763588,21,1.4291315078735352
1520450372.5518563,22,1.426992416381836
1520450378.351488,23,1.4291294813156128
1520450384.1779926,24,1.4317412376403809
1520450389.9940145,25,1.423022747039795
1520450395.83162,26,1.4279541969299316
1520450401.6605892,27,1.4284290075302124
1520450407.4793506,28,1.4299886226654053
1520450413.3084767,29,1.4254087209701538
1520450419.1070547,30,1.4270908832550049
1520450424.908012,31,1.4318532943725586
1520450430.720207,32,1.4207912683486938
