Wall time,Step,Value
1520440963.851029,0,17.188488006591797
1520440978.000857,1,6.900839328765869
1520440993.3501608,2,3.5407726764678955
1520441007.9885812,3,2.402846097946167
1520441023.8665862,4,2.0084898471832275
1520441039.48756,5,1.8545342683792114
1520441054.318963,6,1.797722578048706
1520441068.936987,7,1.76872718334198
1520441084.1275399,8,1.7542818784713745
1520441099.350504,9,1.7468405961990356
1520441114.628866,10,1.7417848110198975
1520441130.497644,11,1.7386153936386108
1520441146.4122822,12,1.7338184118270874
1520441161.5347269,13,1.7314592599868774
1520441177.2547321,14,1.7259974479675293
1520441192.801738,15,1.7239078283309937
1520441211.539158,16,1.7237498760223389
1520441226.802138,17,1.7185328006744385
1520441237.6540039,18,1.7167607545852661
1520441247.2100391,19,1.7145617008209229
1520441257.424286,20,1.7142584323883057
